"session","session_id","study_id","iteration","created","modified","ended","expired","consent_text_mandatory","Q2","Q4_oa","Q4_rdm","Q4_fair","Q4_code","Q4_material","Q4_prereg","Q4_rr","Q5_oa","Q5_rdm","Q5_fair","Q5_code","Q5_material","Q5_prereg","Q5_rr","Q6_oa","Q6_rdm","Q6_fair","Q6_code","Q6_material","Q6_prereg","Q6_rr","Q6_oa_comment","Q6_rdm_comment","Q6_fair_comment","Q6_code_comment","Q6_material_comment","Q6_prereg_comment","Q6_rr_comment","Q7_oa","Q7_rdm","Q7_fair","Q7_code","Q7_material","Q7_prereg","Q7_rr","Q7_oa_comment","Q7_rdm_comment","Q7_fair_comment","Q7_code_comment","Q7_material_comment","Q7_prereg_comment","Q7_rr_comment","Q10_oa","Q10_rdm","Q10_fair","Q10_ethics","Q10_privacy","Q10_code","Q10_material","Q10_license","Q10_prereg","Q10_other_1","Q10_other_2","Q10_other_3","Q11_online","Q11_colloquium","Q11_consulting","Q11_mentoring","Q11_network","Q11_other_1","Q11_other_2","Q11_other_3","Q8_nb_pub","Q8_IF","Q8_quality","Q8_author_role","Q8_citation","Q8_grant","Q8_impact","Q8_teaching","Q8_supervision","Q8_services","Q8_citizenship","Q8_awards","Q8_network","Q8_ORPs","Q8_other_1","Q8_other_2","Q8_other_3","Q9_nb_pub","Q9_IF","Q9_quality","Q9_author_role","Q9_citation","Q9_grant","Q9_impact","Q9_teaching","Q9_supervision","Q9_services","Q9_citizenship","Q9_awards","Q9_network","Q9_ORPs","Q9_other_1","Q9_other_2","Q9_other_3","Q13","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q10_recruitment"
"y3fo9LoKfSsqN1rIPIk0ZKVrd-VrP_6rJ8eRljGl3o9cl9Qzzkj4p-EMy-xwOzWX","153869","592","11","2024-12-04 13:38:11","2024-12-04 13:47:35","2024-12-04 13:47:35","","1","PhDStudent","using","aware","using","practicing","practicing","using","using","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","none","training","unsure","none","none","unsure","unsure","","","","","","","","no","no","no","no","no","no","no","","","","","","","","written","written","written","written","written","written","written","written","written","","","","useful","useful","useful","useful","useful","","","","considerably","considerably","considerably","considerably","considerably","considerably","moderately","unsure","unsure","unsure","considerably","unsure","considerably","slightly","","","","considerably","considerably","considerably","considerably","considerably","considerably","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","","","","no","cook book","tutorial","online video","","","written"
"-zIkT84p3-cG68f2ZosvJEho3-FuXXXQ1PLKaAsQQPx3adVePYM63jys2pxxKfBT","153870","592","12","2024-12-04 13:38:22","2024-12-04 13:43:56","","","1","SupportStaff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-iUi_yaz4f6dWG0icV7QFuNr3Frd0AZh7sF_WI4MNEfGbw12w0MPIzvAsXiGjS4L","153872","592","13","2024-12-04 13:39:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"_UZKUXjmn8yXeb4vi1CITUEVscUVronjAe1J7cp7arfTOZLLwf-Ler2qdM_buB3Z","153873","592","14","2024-12-04 13:39:32","2024-12-04 14:00:08","2024-12-04 14:00:08","","1","PhDStudent","using","aware","using","aware","using","aware","unsure","beneficial","neutral","detrimental","beneficial","detrimental","neutral","unsure","none","training","incentives","incentives","norms","unsure","unsure","","","","","","","","no","no","no","unsure","no","unsure","unsure","","","","","","","","written","workshop","written","workshop","written","workshop","written","written","workshop","","","","essential","unsure","useful","useful","useful","","","","considerably","considerably","considerably","considerably","moderately","considerably","considerably","moderately","slightly","moderately","unsure","moderately","moderately","unsure","","","","moderately","moderately","considerably","considerably","moderately","considerably","moderately","moderately","considerably","considerably","slightly","moderately","slightly","moderately","","","","no","","","","","","workshop"
"Ue1doy308Tjhj_rfUHfSxgERBvSFZC7QeVxOWN-3XxE2IB8O4U547BrUB0rBXrk2","153874","592","15","2024-12-04 13:42:25","2024-12-04 13:42:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a2Sv2smfxj0PgqSDj-hCw0wFQKpS6vfh6QOxcMM8HDcKe2Hr5JcnRgUcCgGt4mVr","153876","592","16","2024-12-04 13:43:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N8qVOAY2DB6tRwN4Ll2YHC9JIH1nKEUF5qzfrt10w1CqCjFpPY4MYUJi93sRV2Ja","153877","592","17","2024-12-04 13:43:32","2024-12-04 13:47:25","","","1","PhDStudent","using","aware","aware","using","using","aware","aware","beneficial","beneficial","neutral","neutral","beneficial","beneficial","unsure","training","training","training","na","unsure","unsure","unsure","","","","","","","","unsure","no","unsure","no","no","unsure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CckSxVQjSH8If-esi7JmKjyBYVB90XGvgnjrFCyB3BB4LUq2FrA7Ue__aPCI6DZ8","153879","592","18","2024-12-04 13:44:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kd7TzFksq4DfaQmo5ekijqsLZKySN7nTQaCH6qGPgQRPs4l3264V1-NaiK6IArgm","153880","592","19","2024-12-04 13:44:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETKyyhaKv61js5ozEHcwpJbzQG9Xerp8iJ55nQ7ByvTYuAXkH9l6TD7ZCWLXxSCr","153881","592","20","2024-12-04 13:44:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8xf-U6BFHzdgV35dg6IQeDxRAVhFwinBvtDrHFWQPdcUNpyEHeaCVCTFgBpqtwcM","153882","592","21","2024-12-04 13:44:06","2024-12-04 13:44:37","","","1","PostDocs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xXEK2EL6pkqUVndFLhOLuZQBZh8sTtDMNpizYYcMoGTOhiQpsl9Clou0ISYUeH5L","153883","592","22","2024-12-04 13:45:07","2024-12-04 13:45:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vVxjdmbNBXzNvWq9v0KDnjxr9JLhV0zXjrQRXrOZyxqIQuOR_7pGFTvZOYK1_6hO","153884","592","23","2024-12-04 13:45:34","2024-12-04 13:52:28","2024-12-04 13:52:28","","1","PIs","practicing","unsure","unsure","aware","aware","unsure","unsure","beneficial","unsure","unsure","beneficial","beneficial","unsure","unsure","none","none","none","none","none","none","none","","","","","","","","no","no","no","no","no","no","no","","","","","","","","none_needed","unsure","unsure","unsure","unsure","workshop","written","unsure","unsure","","","","unsure","useful","useful","useful","unsure","","","","considerably","considerably","moderately","considerably","considerably","considerably","considerably","slightly","slightly","slightly","none","moderately","slightly","none","","","","moderately","moderately","considerably","considerably","moderately","considerably","moderately","moderately","moderately","slightly","none","slightly","slightly","slightly","","","","maybe","","","","","","written"
"8N9lP8EZFoDNb4mLIsd27rkSQGKHvfohCBpA1YQlOhKvj8EstM7ZTGLdrXbYhySS","153887","592","24","2024-12-04 13:47:47","2024-12-04 14:01:07","2024-12-04 14:01:07","","1","PIs","practicing","unsure","aware","practicing","practicing","na","na","neutral","beneficial","beneficial","beneficial","beneficial","unsure","unsure","none","none","policy","none","none","unsure","unsure","","","","","","","","no","no","unsure","no","no","unsure","unsure","","","","","","","","none_needed","written","workshop","written","written","written","written","written","written","","","","useful","useful","essential","useful","useful","","","","considerably","considerably","considerably","considerably","considerably","considerably","considerably","moderately","moderately","slightly","slightly","moderately","considerably","slightly","","","","moderately","considerably","considerably","considerably","considerably","considerably","considerably","moderately","moderately","moderately","moderately","moderately","considerably","moderately","","","","no","","","","","","written"
"ofrxC7Owdny3euWapwVS8eBQujSgU5ZUUAdS-38c9NrCp3Zo7FsDm-s0Sm1Ji93R","153889","592","25","2024-12-04 13:48:56","2024-12-04 13:48:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W6ehdJ5T_xZ7ln1KYbSXoS9ODH00-fQQ5G-OnFANbOJeiCX-l3ss9MP2Ia7tQY2y","153890","592","26","2024-12-04 13:49:56","2025-01-08 14:01:08","","","1","SupportStaff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eARJlgT8R-0n7GiuVndH8HAIBdG5vKemgmPv4--M1kta9cCgYZg5INY-dlWIek_T","153891","592","27","2024-12-04 13:50:53","2024-12-04 14:00:20","2024-12-04 14:00:20","","1","PIs","practicing","practicing","practicing","practicing","using","aware","aware","beneficial","beneficial","beneficial","beneficial","beneficial","unsure","unsure","none","infrastructure, norms, incentives","infrastructure, norms, incentives","none","incentives","na","na","","","","","","","","no","no","yes","no","no","na","na","","","Large costs on storage and personel involved. Same is also true for a decent Research data management plan","","","","","none_needed","workshop","workshop","written","none_wanted","written","none_needed","written","na","","","","useful","useful","useful","useless","useful","","","","considerably","considerably","considerably","considerably","moderately","considerably","slightly","slightly","slightly","slightly","slightly","moderately","moderately","none","","","","moderately","considerably","considerably","moderately","slightly","moderately","none","moderately","moderately","slightly","moderately","slightly","moderately","moderately","","","","maybe","","","","","","na"
"DDO_qtl0d-2EFqYFzUqF0bpN7uVLHO4ROFtUAsFShcHlLK2NWKdAD8hAeXYkyKlz","153892","592","28","2024-12-04 13:51:10","2024-12-04 14:51:53","2024-12-04 14:51:53","","1","SupportStaff","practicing","practicing","practicing","unsure","practicing","practicing","aware","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","","","","","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","","","","","workshop","workshop","workshop","written","workshop","workshop","workshop","workshop","workshop","","","","essential","essential","useful","useful","essential","","","","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","maybe","","","","","","written"
"2Nv-FygYO2tUq4dMxaTt4uP-n7-MKT-L4fozb3ZAEg0okGNWNoTjfyQOR4sv9_cr","153896","592","29","2024-12-04 13:54:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XB_M1ZlpbHZn2gQZHuiYxSeju8zlaqS6srbAgXTtprpeAyGh1ORbd_2vZfDyAnzK","153897","592","30","2024-12-04 13:54:43","2024-12-04 13:54:55","","","1","PhDStudent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e7yQ2gZSPWP9mKCM1ksQu5J9TkWW8dCIKnnVHsnEo4z0tIAZQBJoKrE0Fp4i6W6S","153899","592","31","2024-12-04 13:57:56","2024-12-04 14:13:45","2024-12-04 14:13:45","","1","PostDocs","practicing","na","practicing","practicing","na","na","na","beneficial","na","beneficial","beneficial","na","na","na","none","na","none","none","na","na","na","","","","","","","","no","na","no","no","na","na","na","","","","","","","","none_needed","na","none_needed","written","none_needed","none_needed","none_needed","none_needed","na","","","","unsure","useful","essential","essential","essential","","","","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","moderately","slightly","considerably","moderately","slightly","moderately","considerably","slightly","slightly","slightly","none","slightly","considerably","considerably","","","","maybe","","","","","","na"
"hDCtHBZwGyqd2wSpvRAxQ8GzaaLocs_m3BH7Tqa5V8rFfKf1o2QxFh0Ol3NLQ7KI","153904","592","32","2024-12-04 14:00:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yZxKU5t82dD6mp8xYUaYFf5R4Jvm-WvTn4UWEDvmqLVUQbtav6v0iNXYSy1kYQHG","153905","592","33","2024-12-04 14:00:56","2024-12-04 14:02:17","","","1","PhDStudent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KD6bLIWWRkCGTib-ibLiyv5KttwjVQmMk4vuDpkt7H0MmnZXnjzWrqkzHfP3VbMb","153909","592","34","2024-12-04 14:03:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yuUyii3TKHf8M7qIyfEiIeSCJmPswCUCgERBd7EJG5xd1QmW_vv0Jb4DpsV3QZpx","153910","592","35","2024-12-04 14:03:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lw-uKTtBKH_fWIfMebN6423SCqFn20SVJ18ADZ9jqsSTsjkgHHhs3D2RZEQJm9Ej","153912","592","36","2024-12-04 14:05:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cKPQWU1qMKqSXTDRyBkTtJekxJXnoeNkm7PnDXkyg-4R1_lv-LnI0GfUnta5OK2i","153913","592","37","2024-12-04 14:05:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eF4XzpgABcwCSNSvxtgT06eTo14Dvr1VMSIq2bHM6FZmH4SJerBt5Gw1p9SFOovM","153914","592","38","2024-12-04 14:05:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N1eRq68bW1al4dXfr_SluoK6kKNzo9e6rOYR26E67Q5d8A77-4akeqsUZUxLb-cG","153915","592","39","2024-12-04 14:05:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-7iYNTpohe3qb-mWRgLaIh-h-3VI_IOxbd-5tNnqzxzNSLngFwxib041Y0QTvB_t","153916","592","40","2024-12-04 14:05:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q9RXch1owFyRG0h5wZZShUSE6hL2t0UNUuJGBgILj06RxBfbJv0sbMa9hwxSFZNt","153917","592","41","2024-12-04 14:07:40","2024-12-04 14:16:06","2024-12-04 14:16:06","","1","PIs","aware","","practicing","aware","practicing","unsure","unsure","unsure","beneficial","beneficial","beneficial","beneficial","unsure","unsure","norms","infrastructure, training, norms","infrastructure, training, norms","infrastructure, training, norms","policy","infrastructure, training, norms, incentives","infrastructure, training, norms, incentives","","","","","","","","unsure","no","no","no","no","unsure","unsure","","","","","","","","workshop","workshop","workshop","workshop","workshop","workshop","none_wanted","workshop","workshop","","","","essential","useless","essential","essential","essential","","","","considerably","considerably","unsure","considerably","considerably","moderately","slightly","moderately","slightly","unsure","unsure","slightly","slightly","none","","","","moderately","moderately","considerably","moderately","moderately","considerably","moderately","slightly","moderately","moderately","moderately","moderately","moderately","moderately","","","","maybe","","","","","","written"
"oGUkCbq-UQMbMeqwq4xC4YqqmNY_IjCmC55MEfVdNT7dmG7bH9Y7dEVJM_TllBao","153920","592","42","2024-12-04 14:08:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"qMYqXbKBFuWUbsRDTnyZLUKbGGkxRxXDo4muha0GglZG6nGcs2viibVsfkZeMnCO","153921","592","43","2024-12-04 14:08:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"daGMZTpVZ1RNjjIEdjIkcY2wjSBoz4fZyqxr_szVOfBLHAeu4CVnExzmIF7ngQ9X","153922","592","44","2024-12-04 14:08:12","2025-01-13 10:38:31","2025-01-13 10:38:31","","1","PhDStudent","practicing","aware","aware","using","using","aware","aware","beneficial","beneficial","beneficial","beneficial","beneficial","neutral","neutral","norms, policy","infrastructure, training, norms, incentives, policy","infrastructure, training, norms, incentives, policy","infrastructure, training, norms, incentives, policy","infrastructure, training, norms, incentives, policy","norms, incentives, policy","norms, incentives, policy","","","","","","","","","","","","","yes","yes","","","","","","Even though I personally understand how it will be beneficial, there is a lot of competition and fear of scooping in my field. ","Even though I personally understand how it will be beneficial, there is a lot of competition and fear of scooping in my field. The incentives for preregistration or registered report are low/none as things are at the moment, and they are often seen as a waste of time and a risk for being scooped. ""Fast results"" have higher rewards. I think adoption of these practices would have to come along with slow science for them to work in my field.
It is also true that in exploratory science it is very difficult to define the methods and exact steps/analysis until you get some data, so registered reports are also difficult to write.","written","workshop","workshop","na","na","workshop","workshop","unsure","unsure","","","","useful","useful","useful","essential","essential","","","","considerably","considerably","considerably","unsure","considerably","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","slightly","slightly","considerably","slightly","slightly","slightly","unsure","moderately","considerably","unsure","unsure","unsure","unsure","considerably","","","","no","","","","","","na"
"a-Eg_zARqM1Knn_lxN4FIqLKrDOvf34b8Vykrw3QatlC7aAy8K7gJQ4bdMDoTgE8","153924","592","45","2024-12-04 14:09:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBiHfkvbx-Y0GeOYjcpdUozEiHRdvSvIMd-lwOR47HBd3bELuap7ETKLIRI0Ucai","153925","592","46","2024-12-04 14:09:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"iLQlyISsZvz9mRXxPwWv8A2XDaQjF75gFz6lCfgHAx_iVBIy798zl4MHZwT-hyNX","153926","592","47","2024-12-04 14:11:46","2024-12-04 14:16:46","","","1","PIs","using","unsure","unsure","unsure","practicing","aware","aware","unsure","unsure","unsure","unsure","beneficial","unsure","unsure","training, norms","na","na","training","norms, incentives","norms","norms","","","","","","","","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","","","","","written","unsure","written","written","written","written","written","written","written","","","","useful","unsure","useful","useful","useful","","","","considerably","considerably","moderately","considerably","considerably","considerably","slightly","moderately","slightly","moderately","unsure","slightly","unsure","unsure","age","sex","","moderately","considerably","considerably","considerably","considerably","considerably","slightly","considerably","considerably","considerably","none","moderately","moderately","moderately","","","","no","","","","","","written"
